0.7552	0.8017	0.8444	0.8977
0.9809	1.0483	1.1119	1.1888
1.1211	1.2059	1.2845	1.3767
1.2170	1.3158	1.4053	1.5131
1.2811	1.3920	1.4917	1.6118
1.3258	1.4448	1.5548	1.6863
1.3514	1.4789	1.5946	1.7339
1.3628	1.4956	1.6152	1.7572
1.3610	1.4976	1.6210	1.7676
1.3751	1.5115	1.6341	1.7808
0.7997	0.8431	0.8838	0.9351
1.0448	1.1067	1.1654	1.2388
1.2030	1.2805	1.3509	1.4362
1.3112	1.4042	1.4881	1.5876
1.3870	1.4865	1.5779	1.6930
1.4422	1.5538	1.6530	1.7724
1.4707	1.5900	1.6953	1.8223
1.4892	1.6105	1.7206	1.8559
1.4902	1.6156	1.7297	1.8668
1.5067	1.6319	1.7455	1.8827
0.8250	0.8668	0.9040	0.9519
1.0802	1.1419	1.1986	1.2700
1.2491	1.3259	1.3951	1.4820
1.3647	1.4516	1.5326	1.6302
1.4449	1.5421	1.6322	1.7470
1.5045	1.6089	1.7008	1.8143
1.5353	1.6560	1.7510	1.8756
1.5588	1.6751	1.7809	1.9105
1.5630	1.6828	1.7901	1.9190
1.5785	1.6981	1.8071	1.9395
0.8414	0.8828	0.9205	0.9681
1.1066	1.1663	1.2217	1.2918
1.2792	1.3533	1.4212	1.5013
1.3973	1.4506	1.5593	1.6536
1.4852	1.5791	1.6690	1.7741
1.5429	1.6465	1.7420	1.8573
1.5852	1.6927	1.7941	1.9140
1.6057	1.7195	1.8212	1.9450
1.6089	1.7245	1.8269	1.9592
1.6275	1.7435	1.8495	1.9787
0.8541	0.8948	0.9321	0.9799
1.1247	1.1846	1.2395	1.3088
1.3040	1.3765	1.4440	1.5252
1.4250	1.5069	1.5855	1.6791
1.5154	1.6077	1.6921	1.7967
1.5738	1.6770	1.7687	1.8837
1.6182	1.7217	1.8176	1.9377
1.6460	1.7540	1.8553	1.9788
1.6462	1.7574	1.8615	1.9897
1.6644	1.7777	1.8816	2.0085
0.8653	0.9048	0.9414	0.9880
1.1415	1.1997	1.2530	1.6220
1.3223	1.3938	1.4596	1.5392
1.4483	1.5305	1.6100	1.7014
1.5392	1.6317	1.7139	1.8154
1.6025	1.7018	1.7930	1.9061
1.6462	1.7499	1.8439	1.9605
1.6697	1.7769	1.8763	1.9986
1.6802	1.7889	1.8932	2.0163
1.6939	1.8052	1.9074	2.0326
